Apple Inc. Common Stock	AAPL
Microsoft Corporation Common Stock	MSFT
Alphabet Inc. Class C Capital Stock	GOOG
Alphabet Inc. Class A Common Stock	GOOGL
Amazon.com Inc. Common Stock	AMZN
Tata Motors Ltd Tata Motors Limited	TTM
Vedanta Limited American Depositary Shares (Each representing four equity shares)	VEDL
China Life Insurance Company Limited American Depositary Shares	LFC
PetroChina Company Limited Common Stock	PTR
Facebook Inc. Class A Common Stock	FB
JD.com Inc. American Depositary Shares	JD
Chunghwa Telecom Co. Ltd.	CHT
Dr. Reddy's Laboratories Ltd Common Stock	RDY
Berkshire Hathaway Inc.	BRK/B
United Microelectronics Corporation (NEW) Common Stock	UMC
China Petroleum & Chemical Corporation Common Stock	SNP
VALE S.A. American Depositary Shares Each Representing one common share	VALE
NetEase Inc. American Depositary Shares	NTES
Tesla Inc. Common Stock	TSLA
ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares)	ASX
JP Morgan Chase & Co. Common Stock	JPM
Visa Inc.	V
NVIDIA Corporation Common Stock	NVDA
Johnson & Johnson Common Stock	JNJ
Walmart Inc. Common Stock	WMT
UnitedHealth Group Incorporated Common Stock (DE)	UNH
Petroleo Brasileiro S.A.- Petrobras Common Stock	PBR
Bank of America Corporation Common Stock	BAC
Ericsson American Depositary Shares	ERIC
Mastercard Incorporated Common Stock	MA
Procter & Gamble Company (The) Common Stock	PG
Home Depot Inc. (The) Common Stock	HD
Walt Disney Company (The) Common Stock	DIS
Bilibili Inc. American Depositary Shares	BILI
PayPal Holdings Inc. Common Stock	PYPL
Ambev S.A. American Depositary Shares (Each representing 1 Common Share)	ABEV
Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares)	ITUB
Banco Bradesco Sa American Depositary Shares	BBD
Banco Bradesco Sa American Depositary Shares (each representing one Common Share)	BBDO
Comcast Corporation Class A Common Stock	CMCSA
Exxon Mobil Corporation Common Stock	XOM
BeiGene Ltd. American Depositary Shares	BGNE
Coca-Cola Company (The) Common Stock	KO
Adobe Inc. Common Stock	ADBE
Oracle Corporation Common Stock	ORCL
Verizon Communications Inc. Common Stock	VZ
ASML Holding N.V. New York Registry Shares	ASML
Intel Corporation Common Stock	INTC
Cisco Systems Inc. Common Stock (DE)	CSCO
Netflix Inc. Common Stock	NFLX
Pfizer Inc. Common Stock	PFE
Salesforce.com Inc Common Stock	CRM
Nike Inc. Common Stock	NKE
ZTO Express (Cayman) Inc. American Depositary Shares each representing one Class A ordinary share.	ZTO
Chevron Corporation Common Stock	CVX
AT&T Inc.	T
AT&T Inc. 5.350% Global Notes due 2066	TBB
AT&T Inc. 5.625% Global Notes due 2067	TBC
PepsiCo Inc. Common Stock	PEP
AbbVie Inc. Common Stock	ABBV
Novartis AG Common Stock	NVS
Abbott Laboratories Common Stock	ABT
Wells Fargo & Company Common Stock	WFC
Broadcom Inc. 8.00% Mandatory Convertible Preferred Stock Series A	AVGOP
Broadcom Inc. Common Stock	AVGO
Eli Lilly and Company Common Stock	LLY
D/B/A Sibanye-Stillwater Limited ADS	SBSW
Accenture plc Class A Ordinary Shares (Ireland)	ACN
Merck & Company Inc. Common Stock (new)	MRK
United Parcel Service Inc. Common Stock	UPS
T-Mobile US Inc. Common Stock	TMUS
Thermo Fisher Scientific Inc Common Stock	TMO
Texas Instruments Incorporated Common Stock	TXN
BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)	BHP
Morgan Stanley Common Stock	MS
McDonald's Corporation Common Stock	MCD
Danaher Corporation Common Stock	DHR
Costco Wholesale Corporation Common Stock	COST
Banco Santander Brasil SA American Depositary Shares each representing one unit	BSBR
Medtronic plc. Ordinary Shares	MDT
Pinduoduo Inc. American Depositary Shares	PDD
Citigroup Inc. Common Stock	C
Genmab A/S ADS	GMAB
Honeywell International Inc. Common Stock	HON
Linde plc Ordinary Share	LIN
Philip Morris International Inc Common Stock	PM
QUALCOMM Incorporated Common Stock	QCOM
Union Pacific Corporation Common Stock	UNP
Shopify Inc. Class A Subordinate Voting Shares	SHOP
Royal Bank Of Canada Common Stock	RY
Sasol Ltd. American Depositary Shares	SSL
Autohome Inc. American Depositary Shares each representing four class A ordinary shares.	ATHM
Charter Communications Inc. Class A Common Stock New	CHTR
Boeing Company (The) Common Stock	BA
Huazhu Group Limited American Depositary Shares	HTHT
Bristol-Myers Squibb Company Common Stock	BMY
Novo Nordisk A/S Common Stock	NVO
Charles Schwab Corporation (The) Common Stock	SCHW
SAP SE ADS	SAP
NextEra Energy Inc. Common Stock	NEE
Amgen Inc. Common Stock	AMGN
BlackRock Inc. Common Stock	BLK
Raytheon Technologies Corporation Common Stock	RTX
Gold Fields Limited American Depositary Shares	GFI
Sea Limited American Depositary Shares each representing one Class A Ordinary Share	SE
Lowe's Companies Inc. Common Stock	LOW
Caterpillar Inc. Common Stock	CAT
Goldman Sachs Group Inc. (The) Common Stock	GS
American Express Company Common Stock	AXP
Toronto Dominion Bank (The) Common Stock	TD
Starbucks Corporation Common Stock	SBUX
International Business Machines Corporation Common Stock	IBM
Applied Materials Inc. Common Stock	AMAT
Piedmont Lithium Inc. Common Stock	PLL
AngloGold Ashanti Limited Common Stock	AU
Intuit Inc. Common Stock	INTU
BHP Group PlcSponsored ADR	BBL
New Oriental Education & Technology Group Inc. Sponsored ADR representing 1 Ordinary Share (Cayman Islands)	EDU
General Electric Company Common Stock	GE
3M Company Common Stock	MMM
Zai Lab Limited American Depositary Shares	ZLAB
American Tower Corporation (REIT) Common Stock	AMT
Target Corporation Common Stock	TGT
CVS Health Corporation Common Stock	CVS
Unilever PLC Common Stock	UL
The Blackstone Group Inc. Common Stock	BX
Deere & Company Common Stock	DE
Estee Lauder Companies Inc. (The) Common Stock	EL
Lockheed Martin Corporation Common Stock	LMT
China Southern Airlines Company Limited Common Stock	ZNH
Sanofi ADR	SNY
GDS Holdings Limited ADS	GDS
Anheuser-Busch Inbev SA Sponsored ADR (Belgium)	BUD
AstraZeneca PLC American Depositary Shares	AZN
Total SE	TOT
Rio Tinto Plc Common Stock	RIO
Aluminum Corporation of China Limited American Depositary Shares	ACH
Advanced Micro Devices Inc. Common Stock	AMD
Zoom Video Communications Inc. Class A Common Stock	ZM
Intuitive Surgical Inc. Common Stock	ISRG
Westpac Banking Corporation Common Stock	WBK
Square Inc. Class A Common Stock	SQ
Anthem Inc. Common Stock	ANTM
Booking Holdings Inc. Common Stock	BKNG
Stryker Corporation Common Stock	SYK
Micron Technology Inc. Common Stock	MU
Uber Technologies Inc. Common Stock	UBER
Lam Research Corporation Common Stock	LRCX
Snap Inc. Class A Common Stock	SNAP
S&P Global Inc. Common Stock	SPGI
Altria Group Inc.	MO
General Motors Company Common Stock	GM
Airbnb Inc. Class A Common Stock	ABNB
Fidelity National Information Services Inc. Common Stock	FIS
ServiceNow Inc. Common Stock	NOW
HSBC Holdings plc. Common Stock	HSBC
Prologis Inc. Common Stock	PLD
U.S. Bancorp Common Stock	USB
Mondelez International Inc. Class A Common Stock	MDLZ
China Eastern Airlines Corporation Ltd. Common Stock	CEA
Cigna Corporation Common Stock	CI
Crown Castle International Corp. (REIT) Common Stock	CCI
Gilead Sciences Inc. Common Stock	GILD
Automatic Data Processing Inc. Common Stock	ADP
Zoetis Inc. Class A Common Stock	ZTS
Moderna Inc. Common Stock	MRNA
PNC Financial Services Group Inc. (The) Common Stock	PNC
Bank Nova Scotia Halifax Pfd 3 Ordinary Shares	BNS
Truist Financial Corporation Common Stock	TFC
ConocoPhillips Common Stock	COP
FedEx Corporation Common Stock	FDX
Canadian National Railway Company Common Stock	CNI
Diageo plc Common Stock	DEO
Suzano S.A. American Depositary Shares (each representing One Ordinary Share)	SUZ
Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078	ENBA
Enbridge Inc Common Stock	ENB
TJX Companies Inc. (The) Common Stock	TJX
Dell Technologies Inc. Class C Common Stock	DELL
CME Group Inc. Class A Common Stock	CME
Duke Energy Corporation (Holding Company) Common Stock	DUK
Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078	DUKB
Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073	DUKH
Chubb Limited Common Stock	CB
Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share)	VIV
Fiserv Inc. Common Stock	FISV
Brookfield Asset Management Inc. Common Stock	BAM
CSX Corporation Common Stock	CSX
Sherwin-Williams Company (The) Common Stock	SHW
Activision Blizzard Inc. Common Stock	ATVI
Capital One Financial Corporation Common Stock	COF
Natura &Co Holding S.A. American Depositary Shares	NTCO
Equinor ASA	EQNR
Illinois Tool Works Inc. Common Stock	ITW
Grupo Simec S.A.B. de C.V. American Depositary Shares	SIM
Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share)	EBR
